last_seen,bike_id
2025-12-11T11:01:13.934246,bike_47582
2025-12-11T11:01:09.090414,bike_05990
2025-12-11T11:01:12.971188,bike_46481
2025-12-11T11:01:16.769734,bike_61259
2025-12-11T05:01:05.671362,bike_39544
2025-12-11T11:01:13.390980,bike_77080
2025-12-11T11:01:14.153408,bike_43785
2025-12-08T17:01:11.662765,bike_24306
2025-12-11T11:01:06.279333,bike_76075
2025-12-11T11:01:09.210614,bike_69547
2025-12-11T11:01:09.984167,bike_46662
2025-12-11T11:01:07.270068,bike_43372
2025-12-11T11:01:08.433325,bike_55203
2025-12-11T11:01:15.913116,bike_12219
2025-12-11T11:01:16.131038,bike_75071
2025-12-11T11:01:08.241864,bike_79007
2025-12-11T11:01:13.344184,bike_82530
2025-12-02T17:01:05.503097,bike_25740
2025-12-11T11:01:12.504122,bike_72691
2025-12-11T11:01:11.133312,bike_80405
2025-11-30T17:01:09.351250,bike_69337
2025-12-11T11:01:07.970148,bike_43059
2025-12-11T11:01:06.371591,bike_71828
2025-12-11T11:01:08.512935,bike_63106
2025-12-11T11:01:08.891783,bike_51208
2025-12-11T11:01:09.090401,bike_76665
2025-12-11T11:01:09.904176,bike_77721
2025-12-11T11:01:16.024183,bike_82864
2025-12-11T11:01:10.531065,bike_07102
2025-12-11T11:01:09.773201,bike_76815
2025-12-11T11:01:16.533573,bike_14938
2025-12-11T11:01:07.993158,bike_81649
2025-12-11T11:01:07.452532,bike_74648
2025-12-11T11:01:11.851810,bike_00816
2025-12-10T11:01:10.059131,bike_44317
2025-12-11T11:01:13.653582,bike_55862
2025-12-03T11:01:13.192673,bike_38368
2025-12-11T11:01:13.924256,bike_80528
2025-12-11T11:01:12.190437,bike_80848
2025-12-11T11:01:16.090163,bike_52213
2025-12-11T11:01:06.371617,bike_68642
2025-12-02T17:01:09.640685,bike_74062
2025-12-10T11:01:11.101174,bike_63863
2025-12-11T11:01:09.064115,bike_70162
2025-11-29T23:01:05.772241,bike_67747
2025-12-10T17:01:04.040746,bike_68054
2025-12-11T11:01:10.324167,bike_89641
2025-12-11T11:01:08.953388,bike_74409
2025-12-11T11:01:06.932333,bike_60062
2025-12-11T11:01:11.692812,bike_05119
2025-11-27T17:22:08.390650,bike_46173
2025-12-11T05:01:11.411181,bike_76678
